"Society","Latitude","Agriculture"
"Giriama",-3,"3"
"Gisiga",10,"3"
"Gisu",1,"3"
"Goajiro",12,"2"
"Gogo",-7,"3"
"Gola",7,"3"
"Goldi",47,"3"
"Goroa",-4,"3"
"Gosiute",40,"1"
"Greeks",39,"5"
"Groote Eylandt",-14,"1"
"Gros Ventre",49,"1"
"Guahibo",5,"3"
"Guanche",28,"3"
"Guato",-19,"2"
"Guaymi",8,"0"
"Gude",10,"5"
"Gujarati",20,"5"
"Gurage",8,"6"
"Gure",10,"3"
"Gurma",12,"3"
"Guro",7,"3"
"Gusii",-1,"3"
"Ha",-5,"5"
"Habbania",11,"3"
"Hadendowa",18,"0"
"Hadimu",-6,"3"
"Haida",54,"1"
"Haisla",54,"1"
"Haitians",18,"5"
"Hamama",30,"5"
"Hammar",5,"3"
"Hamyan",35,"5"
"Hano",36,"6"
"Hanunoo",13,"3"
"Hasania",14,"3"
"Hasinai",31,"3"
"Hatsa Kindiga",-3,"1"
"Hausa Kanawa",12,"3"
"Havasupai",36,"6"
"Hawaiians",20,"6"
"Haya",-1,"5"
"Hazara",35,"6"
"Hebrews",32,"5"
"Hehe",-8,"5"
"Hemat",11,"3"
"Herero",-21,"1"
"Hidatsa",47,"5"
"Hill Bhuiya",21,"3"
"Hill Suk",1,"5"
"Ho",22,"0"
"Hona",10,"5"
"Hopi",36,"6"
"Huastec",22,"0"
"Huave",16,"0"
"Huchnom",39,"1"
"Huichol",23,"3"
"Hukundika",42,"1"
"Hunde",-2,"5"
"Hungarian",47,"5"
"Hupa",41,"1"
"Huron",44,"3"
"Hutsul",49,"5"
"Iatmul",-4,"4"
"Iban",2,"3"
"Ibibio",5,"3"
"Ibo",6,"3"
"Icelanders",64,"2"
"Idoma",7,"3"
"Ife",7,"3"
"Ifora",20,"6"
"Ifugao",17,"6"
"Ifuluk",7,"4"
"Igala",7,"3"
"Igbira",8,"3"
"Ijaw",2,"3"
"Ila",-16,"3"
"Ili-Mandiri",-8,"3"
"Inca",-13,"6"
"Ingalik",62,"1"
"Ingassana",11,"5"
"Ingrians",59,"5"
"Iowa",41,"3"
"Iranians",36,"6"
"Iraqw",-4,"5"
"Irish",53,"5"
"Iroquois",43,"3"
"Isala",10,"3"
"Ishigakians",24,"0"
"Isleta",35,"6"
"Isoko",5,"3"
"Itelmen",55,"1"
"Itsekiri",6,"3"
"Iwa",-10,"3"
"Jacaltec",14,"0"
"Janjero",8,"5"
"Japanese",35,"6"
"Javanese",-7,"6"
"Jebala",35,"6"
"Jemez",36,"6"
"Jibu",8,"0"
"Jicaque",15,"0"
"Jicarilla",36,"3"
"Jie",3,"3"
"Jimma",8,"5"
"Jivaro",-3,"3"
"Jordanians",32,"5"
"Jukun",8,"3"
"Jur",8,"3"
"Kababish",17,"2"
"Kabre",10,"5"
"Kabyle",36,"5"
"Kachari",27,"0"
"Kachin",26,"3"
"Kadara",10,"5"
"Kafa",7,"5"
"Kagoro",10,"5"
"Kaguru",-6,"3"
"Kakoli",-6,"5"
"Kakwa",4,"3"
"Kalinga",18,"6"
"Kalispel",49,"1"
"Kalmyk",46,"2"
"Kamba",-2,"5"
"Kamia",33,"5"
"Kamuku",11,"5"
"Kanembu",14,"5"
"Kanuri",12,"5"
"Kaoka",-10,"4"
"Kaonde",-13,"3"
"Kapauku",-4,"3"
"Kapingamarang",1,"4"
"Kapsiki",11,"5"
"Kara",-2,"5"
"Karamojong",2,"0"
"Karankawa",29,"1"
"Karekare",12,"3"
"Karelians",64,"3"
"Karen",17,"6"
"Kariera",-21,"1"
"Karok",42,"1"
"Kasena",11,"3"
"Kashmir",34,"6"
"Kaska",59,"1"
"Kasonke",13,"3"
"Katab",10,"5"
"Katikitegon",46,"1"
"Kazak",48,"2"
"Kazan tatar",55,"5"
"Kei",-6,"4"
"Kela",-3,"3"
"Kentu",7,"0"
"Keraki",-9,"4"
"Kerala",11,"6"
"Kerewe",-3,"5"
"Ket",62,"1"
"Kewyipaya",34,"2"
"Keyu",0,"6"
"Khalka",46,"2"
"Khasi",26,"3"
"Khevsur",43,"5"
"Khmer",13,"5"
"Khond",18,"0"
"Kickapoo",43,"0"
"Kidutokado",42,"1"
"Kikuyu",-1,"5"
"Kiliwa",31,"1"
"Kimam",-7,"5"
"Kiowa",36,"1"
"Kiowa Apache",36,"1"
"Kipsigis",-1,"6"
"Kisama",-10,"3"
"Kissi",9,"3"
"Kiwai",-9,"4"
"Klahuse",51,"1"
"Klallam",48,"1"
"Klamath",43,"1"
"Klikitat",46,"1"
"Koalib",12,"5"
"Kodi",-10,"0"
"Kohistani",35,"6"
"Koiari",-9,"4"
"Koita",-9,"4"
"Koko",4,"0"
"Kol",22,"5"
"Kom",6,"0"
"Koma",9,"3"
"Kongo",-7,"3"
"Konjo",-1,"3"
"Konkomba",10,"3"
"Konso",6,"5"
"Koobe",-5,"0"
"Koranko",9,"3"
"Koreans",35,"6"
"Koro",18,"0"
"Korongo",10,"3"
"Koryak",62,"1"
"Kota",1,"3"
"Kotoko",12,"5"
"Koya",19,"0"
"Kpe",4,"3"
"Kpelle",7,"3"
"Kran",6,"3"
"Kru",5,"3"
"Kuba",-5,"3"
"Kubu",-3,"4"
"Kuikuru",-13,"3"
"Kuki",23,"0"
"Kuku",4,"5"
"Kukuruku",7,"3"
"Kulango",7,"3"
"Kumu",-1,"3"
"Kumyk",42,"5"
"Kunama",15,"3"
"Kunda",-15,"3"
"Kundu",10,"3"
"Kunta",19,"5"
"Kurama",10,"3"
"Kurd",32,"6"
"Kurtatchi",-5,"4"
"Kusaians",5,"4"
"Kusasi",11,"5"
"Kutchin",66,"1"
"Kutenai",50,"1"
"Kutshu",-4,"3"
"Kutubu",-6,"4"
"Kuyuidokado",40,"1"
"Kwaio",-9,"0"
"Kwakiutl",51,"1"
"Kwere",-7,"3"
"Kwoma",-4,"4"
"Labwor",3,"3"
"Lacandon",17,"3"
"Laguna",35,"6"
"Laka",8,"3"
"Lakalai",-5,"4"
"Lake Miwok",38,"1"
"Lake Tonga",-12,"3"
"Lake Yokuts",36,"1"
"Lakher",22,"3"
"Lala",-15,"3"
"Lalia",-1,"0"
"Lamba",-13,"3"
"Lamet",20,"3"
"Lamotrek",7,"4"
"Lango",2,"3"
"Lapps",68,"1"
"Las Vegas",36,"6"
"Lassik",40,"1"
"Latvians",57,"5"
"Lau",-18,"4"
"Lawa",18,"3"
"Lebanese",34,"5"
"Lele",-5,"3"
"Lenca",14,"3"
"Lendu",2,"3"
"Lenge",-25,"3"
"Lengua",-23,"2"
"Lepcha",28,"5"
"Lese",2,"3"
"Lesu",-3,"4"
"Lhota",27,"3"
"Li",19,"5"
"Lida Shoshoni",37,"1"
"Lifu",-21,"4"
"Lillooet",50,"1"
"Lipan",30,"1"
"Liptako",14,"3"
"Lithuanian Karaim",55,"4"
"Lithuanian Tatar",55,"4"
"Lithuanians",55,"5"
"Livs",57,"5"
"Lobi",10,"3"
"Locono",6,"3"
"Logo",3,"3"
"Lokele",1,"3"
"Lolo",29,"5"
"Longuda",10,"5"
"Lotuko",4,"3"
"Lovedu",-24,"5"
"Lowiili",11,"5"
"Lozi",-15,"5"
"Luapula",-10,"3"
"Luba",-8,"3"
"Luchazi",-13,"3"
"Lugbara",3,"3"
"Luguru",-8,"3"
"Luimbe",-12,"3"
"Luiseno",33,"1"
"Lulua",-6,"0"
"Lummi",49,"1"
"Luo",-1,"5"
"Luvale",-12,"3"
"Luwa",-7,"0"
"Macassarese",-5,"6"
"Macha",9,"5"
"Macusi",4,"3"
"Madan",31,"6"
"Madi",4,"3"
"Mafulu",-8,"4"
"Magar",28,"6"
"Maguzawa",12,"0"
"Mahaguaduka",39,"2"
"Maidu",40,"1"
"Mailu",-10,"4"
"Majuro",7,"4"
"Makah",48,"1"
"Makin",3,"4"
"Makonde",-11,"3"
"Makua",-15,"0"
"Malays",5,"6"
"Male",6,"5"
"Malinke",11,"3"
"Mam",15,"3"
"Mambila",7,"5"
"Mambwe",9,"3"
"Mamvu",3,"3"
"Man",22,"0"
"Manam",-4,"4"
"Manchu",45,"5"
"Mandan",47,"5"
"Mandja",6,"3"
"Mangaians",-22,"4"
"Mangarevans",-20,"4"
"Mangbetu",3,"3"
"Manihikians",-10,"4"
"Manobo",8,"3"
"Manprusi",10,"5"
"Mansi",63,"1"
"Manus",-2,"2"
"Mao",9,"3"
"Maori",-35,"3"
"Mapuche",-39,"5"
"Margi",11,"5"
"Maria Gond",19,"3"
"Maricopa",33,"6"
"Marindamin",-8,"4"
"Marquesans",-9,"4"
"Marri",30,"5"
"Marshallese",6,"4"
"Masa",10,"6"
"Masai",-2,"1"
"Mataco",-24,"2"
"Matakam",11,"5"
"Mattole",40,"1"
"Maue",-4,"3"
"Mazateco",18,"0"
"Mbala",-5,"0"
"Mbandja",4,"3"
"Mbau Fijians",-18,"4"
"Mbugwe",-4,"0"
"Mbum",7,"3"
"Mbundu",-12,"3"
"Mbuti",2,"1"
"Meban",10,"3"
"Mekeo",-9,"4"
"Mende",8,"3"
"Menomini",46,"3"
"Mentaweians",-3,"4"
