"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Atsugewi","atsu1245","atw",40.75,-121,NA
"Arabic (Tunisian)","tuni1259","aeb",36.75,10.25,NA
"Au","auuu1241","avt",-3.58333333333,142.083333333,"VO"
"Aulua","aulu1238","aul",-16.3333333333,167.666666667,NA
"Auslan","aust1271","asf",-30,145,NA
"Auyana","awiy1238","auy",-6.5,145.75,NA
"Avar","avar1256","ava",42.5,46.5,"OV"
"Avikam","avik1243","avi",5.16666666667,-5.5,"VO"
"Avokaya","avok1242","avu",4.66666666667,30,"No dominant order"
"Avatime","avat1244","avn",6.83333333333,0.416666666667,NA
"Awa","awap1236","awb",-6.66666666667,145.75,"OV"
"Awadhi","awad1243","awa",27.5,81.5,NA
"Arrernte (Western)","west2441","are",-24,132.5,NA
"Aekyom","aeky1238","awi",-5.75,141.416666667,"OV"
"Akwa","pong1250","png",10.0833333333,6.33333333333,NA
"Awngi","awng1244","awn",10.8333333333,36.6666666667,NA
"Awa Pit","awac1239","kwi",1.5,-78.25,"OV"
"Awtuw","awtu1239","kmn",-3.58333333333,142,"OV"
"Awyi","awyi1241","auw",-2.91666666667,140.583333333,"OV"
"Akhvakh","akhv1239","akv",42.3333333333,46.3333333333,NA
"Anyi","anyi1245","any",7,-3.5,"VO"
"Aymara","nucl1667","ayr",-17,-69,"OV"
"Aynu","ainu1251","aib",39.5,76,NA
"Ayomán",NA,NA,11,-69,"VO"
"Ayoreo","ayor1240","ayo",-20.25,-59.25,"VO"
"Ayiwo","ayiw1239","nfl",-10.3333333333,166.25,"VO"
"Azerbaijani","nort2697","azb",40.5,48.5,"OV"
"Azari (Iranian)","sout2697","azb",37.5,47,"OV"
"Barai","bara1377","bbb",-9.33333333333,148.083333333,"OV"
"Babungo","veng1238","bav",6.11666666667,10.4166666667,"VO"
"Bachamal","wadj1254","wdj",-13.1666666667,130.166666667,"No dominant order"
"Bade","bade1248","bde",12.8333333333,10.5,NA
"Baré","bare1276","bae",1,-67,"VO"
"Bafut","bafu1246","bfd",6.25,9.91666666667,"VO"
"Bagirmi","bagi1246","bmi",11.6666666667,16,"VO"
"Bahuana",NA,NA,-0.5,-62.5,NA
"Bai","cent2004","bca",26,100,"VO"
"Bajau (Sama)","indo1317","bdl",-4.33333333333,123,"VO"
"Baka (in Cameroon)","baka1272","bkc",2.58333333333,13.5833333333,"VO"
"Balinese","bali1278","ban",-8.33333333333,115.25,NA
"Bambara","bamb1269","bam",12.5,-7.5,"OV"
"Bana","bana1305","bcw",10.4166666667,13.5833333333,NA
"Bao'an","bona1250","peh",35.75,102.833333333,"OV"
"Baure","baur1253","brg",-13.0833333333,-64.1666666667,"VO"
"Bari","bari1284","bfa",5,31.6666666667,"VO"
"Basaá","basa1284","bas",3.91666666667,10.5,"VO"
"Batak","bata1301","bya",10.25,119.083333333,NA
"Bau","bauu1244","bbd",-5.25,145.616666667,NA
"Bawm","bawm1236","bgr",22.5,92.25,"OV"
"Bobo Madaré (Northern)","sout2840","bbo",12.4166666667,-4.33333333333,NA
"Babole","dibo1245","bvx",1.08333333333,17.25,"VO"
"Bambam","bamb1270","ptu",-3.08333333333,119.083333333,NA
"Barambu","bara1361","brm",3.5,27,"VO"
"Bininj Gun-Wok","gunw1252","gup",-12.5,133.75,"OV"
"Bandjalang (Casino)","band1339","bdy",-28.9166666667,153,NA
"Berber (Chaouia)","tach1249","shy",35,7,"VO"
"Bella Coola","bell1243","blc",52.5,-126.666666667,"VO"
"Berbice Dutch Creole","berb1259","brc",5.33333333333,-58,NA
"Badaga","bada1257","bfq",11.6666666667,76.75,NA
"Budukh","budu1248","bdk",41.1666666667,48.4166666667,NA
"Badimaya","badi1246","bia",-27.6666666667,118,"OV"
"Budu","budu1250","buu",2,28,"VO"
"Baham","baha1258","bdw",-3.16666666667,132.666666667,"OV"
"Benabena","bena1264","bef",-6.16666666667,145.5,NA
"Bengali (Chittagong)","chit1275","ctg",22.3333333333,91.8333333333,NA
"Beembe","beem1239","beq",-3.91666666667,14.0833333333,NA
