InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
'Kuvi_[kuvi1243][kxv]'	920	PH	kxv	Kuvi	1	drav	South-Central Dravidian	India	Asia	350,000	18:45	82:40:00	37	22	0	15	'Kuvi_[kuvi1243][kxv]'
'Kwaza_[kwaz1243][xwa]'	921	PH	xwa	Kwaza	2	UNCLASSIFIED	UNCLASSIFIED	Brazil	America	25	NULL	NULL	45	29	0	16	'Kwaza_[kwaz1243][xwa]'
'Ladakhi_[lada1244][lbj]'	922	PH	lbj	Ladakhi	1	sitb	Bodic	India	Asia	150,000	34:00:00	78:00:00	38	33	0	5	'Ladakhi_[lada1244][lbj]'
'Langi_[lang1320][lag]'	923	PH	lag	Langi	1	ncon	Bantoid	Tanzania	Africa	350,000	#VALUE!	36:00:00	52	32	0	20	'Langi_[lang1320][lag]'
'Lao_[laoo1244][lao]'	924	PH	lao	Lao	1	taik	Kam-Tai	Laos	Asia	3,000,000	17:20	105:10:00	40	28	0	12	'Lao_[laoo1244][lao]'
'Lavukaleve_[lavu1241][lvk]'	925	PH	lvk	Lavukaleve	1	epap	Lavukaleve	Solomon Islands	Pacific	1,780	-9:0	159:00:00	20	15	0	5	'Lavukaleve_[lavu1241][lvk]'
'Bafaw-Balong_[bafa1247][bwt]'	926	PH	bwt	Bafo	1	ncon	Bantoid	Cameroon	Africa	8,400	04:30	09:10	47	27	4	16	'Bafaw-Balong_[bafa1247][bwt]'
'Lunda_[lund1266][lun]'	927	PH	lun	Lunda	1	ncon	Bantoid	Zambia	Africa	450,000	-12:0	24:30:00	32	22	0	10	'Lunda_[lund1266][lun]'
'Luchazi_[luch1239][lch]'	928	PH	lch	Lucazi	1	ncon	Bantoid	Angola	Africa	155,000	-13:0	20:15	42	32	0	10	'Luchazi_[luch1239][lch]'
'Oroko_[orok1266][bdu]'	929	PH	bdu	Lukundu	1	ncon	Bantoid	Cameroon	Africa	106,000	04:48	09:18	29	22	0	7	'Oroko_[orok1266][bdu]'
'Macedonian_[mace1250][mkd]'	930	PH	mkd	Macedonian	1	ieur	Slavic	Macedonia	Europe	1,390,000	41:05:00	22:35	32	26	0	6	'Macedonian_[mace1250][mkd]'
'Mada_{Cameroon}_[mada1293][mxu]'	931	PH	mxu	Mada	1	afas	Biu-Mandara	Cameroon	Africa	17,000	10:50	14:05	40	22	5	13	'Mada_{Cameroon}_[mada1293][mxu]'
'Madi_[madi1261][grg]'	932	PH	grg	Ma'di	1	trng	Finisterre-Huon	Papua New Guinea	Pacific	380	#VALUE!	146:25:00	54	45	0	9	'Madi_[madi1261][grg]'
'Manam_[mana1295][mva]'	933	PH	mva	Manam	1	anes	Oceanic	Papua New Guinea	Pacific	7,950	#VALUE!	145:05:00	18	13	0	5	'Manam_[mana1295][mva]'
'Bamenyam_[bame1260][bce]'	934	PH	bce	Mamenyan	1	ncon	Bantoid	Cameroon	Africa	4,000	05:45	10:20	50	39	0	11	'Bamenyam_[bame1260][bce]'
'Manange_[mana1288][nmm]'	935	PH	nmm	Manange	1	sitb	Bodic	Nepal	Asia	3,740	28:33:00	84:12:00	45	30	5	10	'Manange_[mana1288][nmm]'
'Ngemba_[ngem1255][nge]'	936	PH	nge	Ngemba	1	ncon	Bantoid	Cameroon	Africa	18,800	06:10	10:00	40	29	2	9	'Ngemba_[ngem1255][nge]'
'Mara_[mara1385][mec]'	937	PH	mec	Mara	1	aust	Maran	Australia	Pacific	15	#VALUE!	135:00:00	24	19	0	5	'Mara_[mara1385][mec]'
'Maybrat_[maib1239][ayz]'	938	PH	ayz	Maybrat	1	wpap	North-Central Birds Head	Indonesia	Asia	20,000	#VALUE!	132:40:00	16	11	0	5	'Maybrat_[maib1239][ayz]'
'Gbaya-Mbodomo_[gbay1281][gmm]'	939	PH	gmm	Mbodomo; MboÌÅdÉ”Ì€mÉ”ÌÅ	1	ncon	Ubangi	Cameroon	Africa	20,000	NULL	NULL	37	28	2	7	'Gbaya-Mbodomo_[gbay1281][gmm]'
'Medumba_[medu1238][byv]'	940	PH	byv	Medumba	1	ncon	Bantoid	Cameroon	Africa	210,000	05:05	10:30	25	16	0	9	'Medumba_[medu1238][byv]'
'Mingrelian_[ming1252][xmf]'	941	PH	xmf	Mingrelian	1	kart	Kartvelian	Georgia	Asia	500,000	42:30:00	42:00:00	35	30	0	5	'Mingrelian_[ming1252][xmf]'
'Mmen_[mmen1238][bfm]'	942	PH	bfm	Mmen	1	ncon	Bantoid	Cameroon	Africa	35,000	06:20	10:15	41	27	5	9	'Mmen_[mmen1238][bfm]'
'Moken_[moke1242][mwt]'	943	PH	mwt	Moken	2	anes	Moklen	Myanmar	Asia	7,000	09:05	97:50:00	32	22	0	10	'Moken_[moke1242][mwt]'
'Moset√©n-Chiman√©_[mose1249][cas]'	944	PH	cas	Moseten	4	saso	Mosetenan	Bolivia	America	5,320	#VALUE!	-68:0	38	26	0	12	'Moset√©n-Chiman√©_[mose1249][cas]'
'Mpongmpong_[mpon1254][mgg]'	945	PH	mgg	Mpumpun	1	ncon	Bantoid	Cameroon	Africa	45,000	02:00	15:30	38	29	2	7	'Mpongmpong_[mpon1254][mgg]'
