ID	mtDNA_Lang	population	group	megagroup	HG_red
474	Sekwena	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
476	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0a
480	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
481	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0d1
513	Setswapong	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
537	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
563	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L0d1
564	Setswana	Tswana	BNT_BOT_Kg_Ts	Bantu	L2a
414	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L3e
418	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L3f
423	sekalaka	Kalanga	BNT_Kalanga	Bantu	L3e
433	sekalaka	Kalanga	BNT_Kalanga	Bantu	L1c
434	sekalaka	Kalanga	BNT_Kalanga	Bantu	L3e
473	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L2a
483	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0d1
521	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0d1
522	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0d1
524	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L2a
527	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L2a
531	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0k
532	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0d1
533	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L3f
538	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L2c
567	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0d1
600	Sekalaka	Kalanga	BNT_Kalanga	Bantu	L0a
NAM059	Damara	Damara	Damara	HereroHimbaDamara	L3e
NAM135	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM139	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM140	Damara	Damara	Damara	HereroHimbaDamara	L0a
