"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Catawba","cata1286","chc",35.5,-80.5,"SOV","Postpositions"
"Cubeo","cube1242","cub",1.33333333333,-70.5,"OVS","Postpositions"
"Cupeño","cupe1243","cup",33.1666666667,-116.5,"SOV","Postpositions"
"Czech","czec1258","ces",50,15,"SVO","Prepositions"
"Daga","daga1275","dgz",-10,149.333333333,"SOV","Postpositions"
"Dan","dann1241","daf",7.5,-8,"SOV","Postpositions"
"Dâw","daww1239","kwa",-0.25,-67.0833333333,"SOV","Postpositions"
"Donno So","donn1238","dds",14.3333333333,-3.58333333333,"SOV","Postpositions"
"Dla (Proper)","dera1245","kbv",-3.58333333333,141,"SOV","Postpositions"
"Desano","desa1247","des",0.833333333333,-69.8333333333,"SOV","Postpositions"
"Dagaare","sout2789","dga",10.5,-2.66666666667,"SVO","Postpositions"
"Dagbani","dagb1246","dag",9.58333333333,-0.5,"SVO","Postpositions"
"Dagur","daur1238","dta",48,124,"SOV","Postpositions"
"Dhimal","dhim1246","dhi",26.6666666667,87.75,"SOV","Postpositions"
"Dhargari","dhar1247","dhr",-23.75,114.916666667,"No dominant order","No adpositions"
"Didinga","didi1258","did",4.5,33.5,"VSO","Prepositions"
"Diegueño (Mesa Grande)","kumi1248","dih",32.6666666667,-116.166666667,"SOV","Postpositions"
"Digaro","diga1241","mhu",28.4166666667,96,"SOV","Postpositions"
"Dime","dime1235","dim",6.16666666667,36.25,"SOV","Postpositions"
"Dinka","nort2815","dip",8.5,28,"No dominant order","No dominant order"
"Diola-Fogny","jola1263","dyo",13,-16.25,"SVO","Prepositions"
"Djingili","djin1251","jig",-17.75,134,"SOV","Postpositions"
"Dani (Lower Grand Valley)","lowe1415","dni",-4.33333333333,138.833333333,"SOV","Postpositions"
"Doko","ngom1268","ngc",3,23.0833333333,"SVO","Prepositions"
"Domari","doma1258","rmt",32,35,"No dominant order","Prepositions"
"Dong","sout2741","doc",27,109,"SVO","Prepositions"
"Doyayo","doya1240","dow",8.66666666667,13.0833333333,"SVO","No dominant order"
"Drehu","dehu1237","dhv",-21,167.25,"No dominant order","Prepositions"
"Dargwa","darg1241","dar",42.25,47.4166666667,"SOV","Postpositions"
"Darma","darm1243","drd",30,79.75,"SOV","Postpositions"
"Danish","dani1285","dan",56,10,"SVO","Prepositions"
"Duka","huns1239","dud",11.1666666667,5.08333333333,"SVO","Prepositions"
"Dutch","dutc1256","nld",52.5,6,"No dominant order","Prepositions"
"Dyirbal","dyir1250","dbl",-17.8333333333,145.583333333,"No dominant order","No adpositions"
"Edolo","edol1239","etr",-6.16666666667,142.666666667,"SOV","Postpositions"
"Engenni","enge1239","enn",5.16666666667,6.38333333333,"SVO","Prepositions"
"Eipo","eipo1242","eip",-4.33333333333,140.083333333,"SOV","Postpositions"
"Émérillon","emer1243","eme",3.16666666667,-52.4166666667,"SOV","Postpositions"
"Emmi","amii1238","amy",-13.5,130,"No dominant order","Postpositions"
"Enets","enet1250","enh",67.5,86.5,"SOV","Postpositions"
"English","stan1293","eng",52,0,"SVO","Prepositions"
"Enggano","engg1245","eno",-5.41666666667,102.25,"SVO","Prepositions"
"Epena Pedee","epen1239","sja",3,-77,"SOV","Postpositions"
"Efate (South)","sout2856","erk",-17.75,168.416666667,"SVO","Prepositions"
"Erromangan","siee1239","erg",-18.8333333333,169.166666667,"SVO","Prepositions"
"Ese Ejja","esee1248","ese",-11,-66,"SOV","Postpositions"
"Estonian","esto1258","est",59,26,"SVO","Postpositions"
"Eudeve","opat1246","opt",29.1666666667,-109.666666667,"SOV","Postpositions"
"Evenki","even1259","evn",56,125,"SOV","Postpositions"
"Even","even1260","eve",68,130,"SOV","Postpositions"
"Ewe","ewee1241","ewe",6.33333333333,0.416666666667,"SVO","Postpositions"
"Ewondo","ewon1239","ewo",4,12,"SVO","Prepositions"
"Fijian","fiji1243","fij",-17.8333333333,178,"No dominant order","Prepositions"
"Finnish","finn1318","fin",62,25,"SVO","Postpositions"
"Fongbe","fonn1241","fon",6.41666666667,2.16666666667,"SVO","No dominant order"
"Fore","fore1270","for",-6.75,145.5,"SOV","Postpositions"
"Momu","fass1245","fqs",-3,141.583333333,"SOV","Postpositions"
"French","stan1290","fra",48,2,"SVO","Prepositions"
"Frisian","east2288","frs",53,5,"No dominant order","Prepositions"
"Fula (Cameroonian)","adam1253","fub",9.16666666667,13.5,"SVO","Prepositions"
"Fur","furr1244","fvr",13.5,25,"SOV","Postpositions"
"Futuna-Aniwa","futu1245","fut",-19.5333333333,170.216666667,"SVO","Prepositions"
"Fyem","fyam1238","pym",9.58333333333,9.33333333333,"SVO","Prepositions"
"Gaelic (Scots)","scot1245","gla",57,-4,"VSO","Prepositions"
"Great Andamanese","apuc1241","apq",12,92.6666666667,"SOV","Postpositions"
"Gapapaiwa","gapa1238","pwg",-9.75,149.833333333,"SOV","Postpositions"
"Garo","garo1247","grt",25.6666666667,90.5,"SOV","Postpositions"
"Gbeya Bossangoa","gbay1287","gbp",6.66666666667,17.5,"SVO","Prepositions"
"Gela","gela1263","nlg",-9.08333333333,160.25,"VOS","Prepositions"
"Georgian","nucl1302","kat",42,44,"SOV","Postpositions"
"German","stan1295","deu",52,10,"No dominant order","Prepositions"
"Gimira","benc1235","bcq",7,35.75,"SOV","Postpositions"
