"glotto.code","glotto.name","glotto.family","area"
"kxoe1243","Kxoe","Khoe-Kwadi","S Africa"
"wuzl1236","Wuzlam","Afro-Asiatic","African Savannah"
"adio1239","Adioukrou","Atlantic-Congo","African Savannah"
"haya1250","Haya","Atlantic-Congo","S Africa"
"moki1238","Mokilese","Austronesian","Oceania"
"obol1243","Obolo","Atlantic-Congo","African Savannah"
"acol1236","Acoli","Nilotic","S Africa"
"sina1266","Sinaugoro","Austronesian","S New Guinea"
"ndut1239","Ndut","Atlantic-Congo","African Savannah"
"mapu1245","Mapudungun","Araucanian","Andean"
"maun1240","Maung","Iwaidjan Proper","N Australia"
"bafu1246","Bafut","Atlantic-Congo","African Savannah"
"kups1238","Kupsabiny","Nilotic","S Africa"
"keng1240","Kenga","Central Sudanic","African Savannah"
"amel1241","Amele","Nuclear Trans New Guinea","N Coast New Guinea"
"tupu1244","Tupuri","Atlantic-Congo","African Savannah"
"bata1293","Batak Karo","Austronesian","Southeast Asia"
"jara1263","Jarawa (Nigeria)","Atlantic-Congo","African Savannah"
"zarm1239","Zarma","Songhay","African Savannah"
"ango1254","Angor","Senagi","N Coast New Guinea"
"kunb1251","Kunbarlang","Gunwinyguan","N Australia"
"juku1254","Jukun Takum","Atlantic-Congo","African Savannah"
"east2347","Eastern Tamang","Sino-Tibetan","Indic"
"tenn1246","Tennet","Surmic","African Savannah"
"youn1235","Younuo Bunu","Hmong-Mien","African Savannah"
"turk1304","Turkmen","Turkic","Inner Asia"
"mehr1241","Mehri","Afro-Asiatic","Greater Mesopotamia"
"tuva1244","Tuvalu","Austronesian","Oceania"
"komi1268","Komi-Zyrian","Uralic","Inner Asia"
"mats1244","Matsés","Panoan","NE South America"
"kola1242","Kolami-Naiki","Dravidian","Indic"
"west2500","Western Maninkakan","Mande","African Savannah"
"chec1245","Chechen","Nakh-Daghestanian","Greater Mesopotamia"
"alam1246","Alamblak","Sepik","N Coast New Guinea"
